id,name,city,state,latitude,longitude,categories,sub_categories,tags,cost_per_day,rating,description,visit_duration_hours,best_time_to_visit,is_active
jk_sri_001,Dal Lake,Srinagar,Jammu and Kashmir,34.11000000,74.87000000,"{nature}","{}","{houseboats,shikara}",0,4.5,"Dal Lake is known for houseboats. Features include shikara.",3,year_round,true
jk_sri_002,Shalimar Bagh,Srinagar,Jammu and Kashmir,34.15000000,74.87000000,"{history}","{}","{mughal garden}",24,4.4,"Shalimar Bagh - Mughal Garden",2,year_round,true
jk_sri_003,Nishat Bagh,Srinagar,Jammu and Kashmir,34.12000000,74.88000000,"{history}","{}","{terraced garden}",24,4.4,"Nishat Bagh - Terraced Garden",2,year_round,true
jk_sri_004,Shankaracharya Temple,Srinagar,Jammu and Kashmir,34.08000000,74.84000000,"{religious}","{}","{hilltop,ancient}",0,4.3,"Shankaracharya Temple is known for hilltop. Features include ancient.",2,year_round,true
JK-SRI-005,Hazratbal Shrine,Spiritual,4.6,Free,"34.12, 74.84","White Marble, Relic"
JK-SRI-006,Pari Mahal,Heritage,4.2,20,"34.09, 74.88","Observatory, Ruins"
JK-SRI-007,Tulip Garden,Nature,4.6,50,"34.09, 74.88","Seasonal (Apr), Asia's largest"
JK-GUL-010,Gulmarg Gondola,Adventure,4.8,740,"34.05, 74.38","Skiing, Apharwat Peak"
JK-PAH-015,Betaab Valley,Nature,4.5,100,"34.01, 75.32","Film tourism, River Lidder"
JK-SON-020,Thajiwas Glacier,Adventure,4.4,Free,"34.30, 75.29","Sledging, Trekking"
JK-BAN-030,Gurez Valley,Nature,4.8,Free,"34.63, 74.83","Kishanganga River, Habba Khatoon"
JK-KUP-031,Bangus Valley,Nature,4.7,Free,"34.36, 74.05","Biosphere, Meadows"
JK-BUD-032,Doodhpathri,Nature,4.4,Free,"33.87, 74.57","""Valley of Milk"""
JK-BUD-033,Yusmarg,Nature,4.3,Free,"33.83, 74.67","Doodhganga, Trekking"
JK-ANA-034,Daksum,Nature,4.5,Free,"33.61, 75.43","Trout Fishing, Forests"
JK-KIS-035,Sinthan Top,Adventure,4.6,Free,"33.56, 75.49","High Pass, Snow"
LA-LEH-001,Leh Palace,Heritage,4.2,15,"34.16, 77.58","17th Century, Royal"
LA-LEH-002,Shanti Stupa,Spiritual,4.5,Free,"34.17, 77.57","Sunset, Peace Pagoda"
LA-NUB-005,Diskit Monastery,Spiritual,4.6,30,"34.54, 77.55","Maitreya Buddha, Nubra"
LA-NUB-006,Hunder Sand Dunes,Nature,4.5,Free,"34.58, 77.47",Bactrian Camels
LA-NUB-007,Turtuk Village,Heritage,4.8,Free,"34.84, 76.83","Balti Culture, Border"
LA-CHA-010,Pangong Tso,Nature,4.8,Permit,"33.74, 78.53","Salt Lake, Color changing"
LA-CHA-011,Tso Moriri,Nature,4.7,Permit,"32.93, 78.32","Wetland Reserve, Ramsar"
LA-CHA-012,Hanle Monastery,Spiritual,4.6,Free,"32.77, 78.97",Dark Sky Reserve
LA-SHA-015,Alchi Monastery,Heritage,4.4,25,"34.22, 77.17","Oldest, Wood carving"
LA-CAR-020,Lamayuru,Nature,4.5,30,"34.28, 76.77","Moonland, Landscape"
HP-SHI-001,The Ridge,Heritage,4.5,Free,"31.10, 77.17","Colonial Hub, Church"
HP-SHI-002,Jakhu Temple,Spiritual,4.3,Free,"31.10, 77.18","Giant Hanuman, Monkeys"
HP-MAN-005,Solang Valley,Adventure,4.4,Var.,"32.31, 77.15","Paragliding, Skiing"
HP-MAN-006,Rohtang Pass,Nature,4.6,Permit,"32.37, 77.24","Snow Point, High Pass"
HP-MAN-007,Hadimba Temple,Heritage,4.5,Free,"32.24, 77.18","Wooden, Pagoda style"
HP-DHA-010,McLeodganj,Spiritual,4.6,Free,"32.24, 76.32","Dalai Lama, Tibetan"
HP-DHA-011,HPCA Stadium,Urban,4.5,20,"32.19, 76.32",Scenic Cricket Ground
HP-SPI-015,Key Monastery,Heritage,4.8,Free,"32.29, 78.01","Spiti Valley, Ancient"
HP-SPI-016,Chandratal Lake,Nature,4.7,Free,"32.48, 77.61","High Altitude, Trekking"
HP-DAL-020,Khajjiar,Nature,4.3,Free,"32.55, 76.06","""Mini Switzerland"""
UK-RIS-001,Laxman Jhula,Urban,4.4,Free,"30.13, 78.33",Suspension Bridge
UK-RIS-002,Triveni Ghat,Spiritual,4.6,Free,"30.10, 78.29",Ganga Aarti
UK-HAR-005,Har Ki Pauri,Spiritual,4.7,Free,"29.95, 78.17","Holy Dip, Kumbh Mela"
UK-NAI-010,Naini Lake,Nature,4.5,200,"29.39, 79.45","Boating, Eye-shaped"
UK-MUS-015,Kempty Falls,Nature,4.1,Free,"30.48, 78.03","Waterfall, Picnic"
UK-COR-020,Jim Corbett NP,Wildlife,4.5,4000+,"29.53, 78.77","Tiger Safari, First NP"
UK-AUL-025,Auli,Adventure,4.6,Free,"30.53, 79.56","Skiing, Nanda Devi View"
UK-VAL-030,Valley of Flowers,Nature,4.8,150,"30.72, 79.60","UNESCO, Trekking, Flora"
UK-KED-035,Kedarnath Temple,Spiritual,4.9,Free,"30.73, 79.06","Jyotirlinga, Trek req."
UK-BAD-036,Badrinath Temple,Spiritual,4.8,Free,"30.74, 79.49","Char Dham, Vishnu"
DL-DEL-001,Red Fort,Heritage,4.4,35,"28.65, 77.24","UNESCO, Mughal"
DL-DEL-002,Qutub Minar,Heritage,4.5,35,"28.52, 77.18","UNESCO, Minaret"
DL-DEL-003,Humayun’s Tomb,Heritage,4.5,30,"28.59, 77.25","UNESCO, Garden Tomb"
DL-DEL-004,India Gate,Heritage,4.6,Free,"28.61, 77.22",War Memorial
DL-DEL-005,Lotus Temple,Spiritual,4.4,Free,"28.55, 77.25","Bahá'í, Marble Flower"
DL-DEL-006,Akshardham,Spiritual,4.6,Free,"28.61, 77.27","Modern, Light Show"
DL-DEL-007,Chandni Chowk,Urban,4.2,Free,"28.65, 77.23","Market, Street Food"
DL-DEL-008,Waste to Wonder,Urban,4.1,50,"28.59, 77.25","Replicas, Eco-park"
DL-DEL-009,Lodhi Garden,Nature,4.6,Free,"28.59, 77.22","Tombs, Morning Walk"
DL-DEL-010,Hauz Khas Village,Urban,4.3,Free,"28.55, 77.19","Nightlife, Ruins, Lake"
UP-AGR-001,Taj Mahal,Heritage,4.8,50/1100,"27.17, 78.04","UNESCO, Closed Fri"
UP-AGR-002,Agra Fort,Heritage,4.5,35,"27.17, 78.02","UNESCO, Red Sandstone"
UP-AGR-003,Fatehpur Sikri,Heritage,4.4,35,"27.09, 77.66","Abandoned City, Mughal"
UP-VAR-005,Kashi Vishwanath,Spiritual,4.7,Free,"25.31, 83.01","Jyotirlinga, Ancient"
UP-VAR-006,Dashashwamedh,Spiritual,4.6,Free,"25.30, 83.00","Ganga Aarti, Ghats"
UP-VAR-007,Sarnath,Heritage,4.5,20,"25.38, 83.02","Buddhist Stupa, Deer Park"
UP-LUC-010,Bara Imambara,Heritage,4.4,50,"26.86, 80.91","Labyrinth, Bhul-bhulaiya"
UP-LUC-011,Rumi Darwaza,Heritage,4.3,Free,"26.86, 80.91","Gateway, Awadhi"
UP-MAT-015,Krishna Janmabhoomi,Spiritual,4.6,Free,"27.50, 77.67","Mathura, Birthplace"
UP-AYO-020,Ram Janmabhoomi,Spiritual,4.8,Free,"26.79, 82.19","Ayodhya, Ram Temple"
RJ-JAI-001,Amer Fort,Heritage,4.6,100,"26.98, 75.85","Hilltop, Elephant ride"
RJ-JAI-002,Hawa Mahal,Heritage,4.4,50,"26.92, 75.82",Palace of Winds
RJ-JAI-003,City Palace,Heritage,4.5,200,"26.92, 75.82","Royal Residence, Museum"
RJ-JAI-004,Jantar Mantar,Heritage,4.4,50,"26.92, 75.82","UNESCO, Astronomy"
RJ-UDA-010,City Palace,Heritage,4.6,300,"24.57, 73.68","Lakeside, Largest complex"
RJ-UDA-011,Lake Pichola,Nature,4.5,400,"24.57, 73.68","Boating, Jag Mandir"
RJ-JOD-015,Mehrangarh Fort,Heritage,4.7,100,"26.29, 73.01","Blue City View, Museum"
RJ-JSL-020,Jaisalmer Fort,Heritage,4.6,Free,"26.91, 70.91","Living Fort, UNESCO"
RJ-JSL-021,Sam Sand Dunes,Adventure,4.3,Free,"26.83, 70.50","Camel Safari, Camping"
RJ-RAN-025,Ranthambore NP,Wildlife,4.5,1500+,"26.01, 76.50","Tiger Reserve, Fort"
GJ-KEV-001,Statue of Unity,Heritage,4.6,150/380,"21.83, 73.71","Tallest Statue, Dam View"
GJ-KUT-005,Rann of Kutch,Nature,4.5,Permit,"23.83, 69.85",White Salt Desert
GJ-AHM-010,Sabarmati Ashram,Heritage,4.6,Free,"23.05, 72.58","Gandhi HQ, History"
GJ-AHM-011,Adalaj Stepwell,Heritage,4.5,Free,"23.16, 72.58","Architecture, Water"
GJ-JUN-015,Gir National Park,Wildlife,4.4,800+,"21.12, 70.82","Asiatic Lions, Safari"
GJ-SOM-020,Somnath Temple,Spiritual,4.7,Free,"20.88, 70.40","Jyotirlinga, Sea facing"
GJ-DWA-025,Dwarkadhish,Spiritual,4.7,Free,"22.23, 68.97","Char Dham, Krishna"
MH-MUM-001,Gateway of India,Heritage,4.5,Free,"18.92, 72.83","Colonial Arch, Ferry"
MH-MUM-002,Elephanta Caves,Heritage,4.4,40,"18.96, 72.93","UNESCO, Rock-cut Shiva"
