id,name,city,state,latitude,longitude,categories,sub_categories,tags,cost_per_day,rating,description,visit_duration_hours,best_time_to_visit,photos,website_url,google_maps_url,opening_hours,entry_fee,is_active,nearby_attractions,facilities,created_at,updated_at
kl_koc_001,Fort Kochi Beach,Kochi,Kerala,9.9319,76.27,"[""beach""]",[],"[""tourism"", ""travel""]",1000,4.5,"Fort Kochi Beach is a popular beach destination in Kochi, Kerala.",1,Oct-Mar,[],,,9 AM - 6 PM,0,True,[],[],2026-01-23T14:14:17.054068,2026-01-23T14:14:17.054073
kl_koc_002,Mattancherry Palace,Kochi,Kerala,9.9375,76.2581,"[""history""]",[],"[""tourism"", ""travel""]",500,4.5,"Mattancherry Palace is a popular history destination in Kochi, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.054103,2026-01-23T14:14:17.054105
kl_koc_003,Jew Town,Kochi,Kerala,9.949,76.2799,"[""shopping""]",[],"[""tourism"", ""travel""]",100,4.3,"Jew Town is a popular shopping destination in Kochi, Kerala.",3,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.054126,2026-01-23T14:14:17.054128
kl_koc_004,Paradesi Synagogue,Kochi,Kerala,9.9421,76.2794,"[""religious""]",[],"[""tourism"", ""travel""]",1000,4.1,"Paradesi Synagogue is a popular religious destination in Kochi, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,0,True,[],[],2026-01-23T14:14:17.054145,2026-01-23T14:14:17.054147
kl_koc_005,Santa Cruz Basilica,Kochi,Kerala,9.9258,76.2598,"[""religious""]",[],"[""tourism"", ""travel""]",1000,4.7,"Santa Cruz Basilica is a popular religious destination in Kochi, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.054164,2026-01-23T14:14:17.054165
kl_koc_006,Marine Drive Kochi,Kochi,Kerala,9.9339,76.2649,"[""nature""]",[],"[""tourism"", ""travel""]",100,4.8,"Marine Drive Kochi is a popular nature destination in Kochi, Kerala.",1,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.054182,2026-01-23T14:14:17.054183
kl_koc_007,Hill Palace Museum,Kochi,Kerala,9.928,76.2437,"[""history""]",[],"[""tourism"", ""travel""]",200,4.3,"Hill Palace Museum is a popular history destination in Kochi, Kerala.",1,Oct-Mar,[],,,9 AM - 6 PM,0,True,[],[],2026-01-23T14:14:17.054199,2026-01-23T14:14:17.054200
kl_koc_008,Kerala Folklore Museum,Kochi,Kerala,9.9393,76.2758,"[""cultural""]",[],"[""tourism"", ""travel""]",500,4.6,"Kerala Folklore Museum is a popular cultural destination in Kochi, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054220,2026-01-23T14:14:17.054222
kl_koc_009,Bolgatty Palace,Kochi,Kerala,9.9209,76.242,"[""history""]",[],"[""tourism"", ""travel""]",100,4.4,"Bolgatty Palace is a popular history destination in Kochi, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,0,True,[],[],2026-01-23T14:14:17.054238,2026-01-23T14:14:17.054239
kl_koc_010,Lulu Mall,Kochi,Kerala,9.9184,76.2655,"[""shopping""]",[],"[""tourism"", ""travel""]",0,4.4,"Lulu Mall is a popular shopping destination in Kochi, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.054258,2026-01-23T14:14:17.054259
kl_koc_011,Cherai Beach,Kochi,Kerala,9.94,76.2542,"[""beach""]",[],"[""tourism"", ""travel""]",0,4.8,"Cherai Beach is a popular beach destination in Kochi, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.054277,2026-01-23T14:14:17.054278
kl_koc_012,Wonderla Kochi,Kochi,Kerala,9.9397,76.2418,"[""adventure""]",[],"[""tourism"", ""travel""]",100,4.2,"Wonderla Kochi is a popular adventure destination in Kochi, Kerala.",1,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.054294,2026-01-23T14:14:17.054295
kl_mun_002,Mattupetty Dam,Munnar,Kerala,10.084,77.0666,"[""nature""]",[],"[""tourism"", ""travel""]",0,4.1,"Mattupetty Dam is a popular nature destination in Munnar, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054330,2026-01-23T14:14:17.054332
kl_mun_003,Echo Point,Munnar,Kerala,10.0602,77.0486,"[""nature""]",[],"[""tourism"", ""travel""]",500,4.2,"Echo Point is a popular nature destination in Munnar, Kerala.",1,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.054347,2026-01-23T14:14:17.054348
kl_mun_004,Eravikulam National Park,Munnar,Kerala,10.0756,77.0716,"[""nature""]",[],"[""tourism"", ""travel""]",500,4.5,"Eravikulam National Park is a popular nature destination in Munnar, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.054364,2026-01-23T14:14:17.054365
kl_mun_005,Top Station,Munnar,Kerala,10.0689,77.0546,"[""adventure""]",[],"[""tourism"", ""travel""]",1000,4.6,"Top Station is a popular adventure destination in Munnar, Kerala.",3,Oct-Mar,[],,,9 AM - 6 PM,0,True,[],[],2026-01-23T14:14:17.054381,2026-01-23T14:14:17.054382
kl_mun_006,Attukal Waterfalls,Munnar,Kerala,10.0851,77.0711,"[""nature""]",[],"[""tourism"", ""travel""]",1000,4.4,"Attukal Waterfalls is a popular nature destination in Munnar, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.054399,2026-01-23T14:14:17.054401
kl_mun_007,Tea Museum,Munnar,Kerala,10.0616,77.079,"[""history""]",[],"[""tourism"", ""travel""]",200,4.5,"Tea Museum is a popular history destination in Munnar, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,0,True,[],[],2026-01-23T14:14:17.054417,2026-01-23T14:14:17.054418
kl_mun_008,Kundala Lake,Munnar,Kerala,10.0749,77.0747,"[""nature""]",[],"[""tourism"", ""travel""]",100,4.6,"Kundala Lake is a popular nature destination in Munnar, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,0,True,[],[],2026-01-23T14:14:17.054434,2026-01-23T14:14:17.054435
kl_mun_009,Anamudi Peak,Munnar,Kerala,10.0663,77.0618,"[""adventure""]",[],"[""tourism"", ""travel""]",100,4.7,"Anamudi Peak is a popular adventure destination in Munnar, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054450,2026-01-23T14:14:17.054451
kl_mun_010,Blossom Park,Munnar,Kerala,10.0653,77.0467,"[""nature""]",[],"[""tourism"", ""travel""]",100,4.2,"Blossom Park is a popular nature destination in Munnar, Kerala.",1,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054467,2026-01-23T14:14:17.054468
kl_mun_011,Chinnar Wildlife Sanctuary,Munnar,Kerala,10.0903,77.0634,"[""nature""]",[],"[""tourism"", ""travel""]",50,4.2,"Chinnar Wildlife Sanctuary is a popular nature destination in Munnar, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,20,True,[],[],2026-01-23T14:14:17.054484,2026-01-23T14:14:17.054485
kl_ala_001,Alappuzha Beach,Alappuzha,Kerala,9.4885,76.3484,"[""beach""]",[],"[""tourism"", ""travel""]",200,4.7,"Alappuzha Beach is a popular beach destination in Alappuzha, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,100,True,[],[],2026-01-23T14:14:17.054503,2026-01-23T14:14:17.054505
kl_ala_002,Backwaters Houseboat,Alappuzha,Kerala,9.5039,76.313,"[""nature""]",[],"[""tourism"", ""travel""]",1000,4.7,"Backwaters Houseboat is a popular nature destination in Alappuzha, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,50,True,[],[],2026-01-23T14:14:17.054520,2026-01-23T14:14:17.054522
kl_ala_003,Marari Beach,Alappuzha,Kerala,9.4848,76.3482,"[""beach""]",[],"[""tourism"", ""travel""]",1000,4.5,"Marari Beach is a popular beach destination in Alappuzha, Kerala.",2,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.054537,2026-01-23T14:14:17.054539
kl_ala_004,Krishnapuram Palace,Alappuzha,Kerala,9.4894,76.3118,"[""history""]",[],"[""tourism"", ""travel""]",200,4.6,"Krishnapuram Palace is a popular history destination in Alappuzha, Kerala.",4,Oct-Mar,[],,,9 AM - 6 PM,10,True,[],[],2026-01-23T14:14:17.054555,2026-01-23T14:14:17.054556
