id,name,city,state,latitude,longitude,categories,sub_categories,tags,cost_per_day,rating,description,visit_duration_hours,best_time_to_visit,photos,website_url,google_maps_url,opening_hours,entry_fee,is_active,nearby_attractions,facilities
jk_sri_001,Dal Lake,Srinagar,Jammu and Kashmir,34.11000000,74.87000000,{nature},{},"{""houseboats"",""shikara""}",0,4.5,Dal Lake is known for houseboats. Features include shikara.,3,year_round,{},,,,0,true,{},{}
jk_sri_002,Shalimar Bagh,Srinagar,Jammu and Kashmir,34.15000000,74.87000000,{history},{},"{""mughal garden""}",24,4.4,Shalimar Bagh - Mughal Garden,3,year_round,{},,,,24,true,{},{}
jk_sri_003,Nishat Bagh,Srinagar,Jammu and Kashmir,34.12000000,74.88000000,{history},{},"{""terraced garden""}",24,4.4,Nishat Bagh - Terraced Garden,3,year_round,{},,,,24,true,{},{}
jk_sri_004,Shankaracharya Temple,Srinagar,Jammu and Kashmir,34.08000000,74.84000000,{religious},{},"{""hilltop"",""ancient""}",0,4.3,Shankaracharya Temple is known for hilltop. Features include ancient.,2,year_round,{},,,,0,true,{},{}
jk_sri_005,Hazratbal Shrine,Srinagar,Jammu and Kashmir,34.12000000,74.84000000,{religious},{},"{""white marble"",""relic""}",0,4.6,Hazratbal Shrine is known for white marble. Features include relic.,3,year_round,{},,,,0,true,{},{}
jk_sri_006,Pari Mahal,Srinagar,Jammu and Kashmir,34.09000000,74.88000000,{history},{},"{""observatory"",""ruins""}",20,4.2,Pari Mahal is known for observatory. Features include ruins.,3,year_round,{},,,,20,true,{},{}
jk_sri_007,Tulip Garden,Srinagar,Jammu and Kashmir,34.09000000,74.88000000,{nature},{},"{""seasonal (apr)"",""asia's largest""}",50,4.6,Tulip Garden is known for seasonal (apr). Features include asia's largest.,3,year_round,{},,,,50,true,{},{}
jk_gul_010,Gulmarg Gondola,Gulmarg,Jammu and Kashmir,34.05000000,74.38000000,{adventure},{},"{""skiing"",""apharwat peak""}",740,4.8,Gulmarg Gondola is known for skiing. Features include apharwat peak.,6,year_round,{},,,,740,true,{},{}
jk_pah_015,Betaab Valley,Pahalgam,Jammu and Kashmir,34.01000000,75.32000000,{nature},{},"{""film tourism"",""river lidder""}",100,4.5,Betaab Valley is known for film tourism. Features include river lidder.,3,year_round,{},,,,100,true,{},{}
jk_son_020,Thajiwas Glacier,Sonmarg,Jammu and Kashmir,34.30000000,75.29000000,{adventure},{},"{""sledging"",""trekking""}",0,4.4,Thajiwas Glacier is known for sledging. Features include trekking.,6,year_round,{},,,,0,true,{},{}
jk_ban_030,Gurez Valley,Bandhavgarh,Jammu and Kashmir,34.63000000,74.83000000,{nature},{},"{""kishanganga river"",""habba khatoon""}",0,4.8,Gurez Valley is known for kishanganga river. Features include habba khatoon.,3,year_round,{},,,,0,true,{},{}
jk_kup_031,Bangus Valley,Kupwara,Jammu and Kashmir,34.36000000,74.05000000,{nature},{},"{""biosphere"",""meadows""}",0,4.7,Bangus Valley is known for biosphere. Features include meadows.,3,year_round,{},,,,0,true,{},{}
jk_bud_032,Doodhpathri,Budgam,Jammu and Kashmir,33.87000000,74.57000000,{nature},{},"{""valley of milk""}",0,4.4,Doodhpathri - Valley of Milk,3,year_round,{},,,,0,true,{},{}
jk_bud_033,Yusmarg,Budgam,Jammu and Kashmir,33.83000000,74.67000000,{nature},{},"{""doodhganga"",""trekking""}",0,4.3,Yusmarg is known for doodhganga. Features include trekking.,6,year_round,{},,,,0,true,{},{}
jk_ana_034,Daksum,Anantnag,Jammu and Kashmir,33.61000000,75.43000000,{nature},{},"{""trout fishing"",""forests""}",0,4.5,Daksum is known for trout fishing. Features include forests.,3,year_round,{},,,,0,true,{},{}
jk_kis_035,Sinthan Top,Kishtwar,Jammu and Kashmir,33.56000000,75.49000000,{adventure},{},"{""high pass"",""snow""}",0,4.6,Sinthan Top is known for high pass. Features include snow.,6,year_round,{},,,,0,true,{},{}
la_leh_001,Leh Palace,Leh,Ladakh,34.16000000,77.58000000,{history},{},"{""17th century"",""royal""}",15,4.2,Leh Palace is known for 17th century. Features include royal.,2,year_round,{},,,,15,true,{},{}
la_leh_002,Shanti Stupa,Leh,Ladakh,34.17000000,77.57000000,{religious},{},"{""sunset"",""peace pagoda""}",0,4.5,Shanti Stupa is known for sunset. Features include peace pagoda.,3,year_round,{},,,,0,true,{},{}
la_nub_005,Diskit Monastery,Nubra Valley,Ladakh,34.54000000,77.55000000,{religious},{},"{""maitreya buddha"",""nubra""}",30,4.6,Diskit Monastery is known for maitreya buddha. Features include nubra.,3,year_round,{},,,,30,true,{},{}
la_nub_006,Hunder Sand Dunes,Nubra Valley,Ladakh,34.58000000,77.47000000,{nature},{},"{""bactrian camels""}",0,4.5,Hunder Sand Dunes - Bactrian Camels,3,year_round,{},,,,0,true,{},{}
la_nub_007,Turtuk Village,Nubra Valley,Ladakh,34.84000000,76.83000000,{history},{},"{""balti culture"",""border""}",0,4.8,Turtuk Village is known for balti culture. Features include border.,3,year_round,{},,,,0,true,{},{}
la_cha_010,Pangong Tso,Chamoli,Ladakh,33.74000000,78.53000000,{nature},{},"{""salt lake"",""color changing""}",0,4.8,Pangong Tso is known for salt lake. Features include color changing.,3,year_round,{},,,,0,true,{},{}
la_cha_011,Tso Moriri,Chamoli,Ladakh,32.93000000,78.32000000,{nature},{},"{""wetland reserve"",""ramsar""}",0,4.7,Tso Moriri is known for wetland reserve. Features include ramsar.,3,year_round,{},,,,0,true,{},{}
la_cha_012,Hanle Monastery,Chamoli,Ladakh,32.77000000,78.97000000,{religious},{},"{""dark sky reserve""}",0,4.6,Hanle Monastery - Dark Sky Reserve,3,year_round,{},,,,0,true,{},{}
la_sha_015,Alchi Monastery,Sham Valley,Ladakh,34.22000000,77.17000000,{history},{},"{""oldest"",""wood carving""}",25,4.4,Alchi Monastery is known for oldest. Features include wood carving.,3,year_round,{},,,,25,true,{},{}
la_car_020,Lamayuru,Ladakh Central,Ladakh,34.28000000,76.77000000,{nature},{},"{""moonland"",""landscape""}",30,4.5,Lamayuru is known for moonland. Features include landscape.,3,year_round,{},,,,30,true,{},{}
hp_shi_001,The Ridge,Shillong,Himachal Pradesh,31.10000000,77.17000000,{history},{},"{""colonial hub"",""church""}",0,4.5,The Ridge is known for colonial hub. Features include church.,3,year_round,{},,,,0,true,{},{}
hp_shi_002,Jakhu Temple,Shillong,Himachal Pradesh,31.10000000,77.18000000,{religious},{},"{""giant hanuman"",""monkeys""}",0,4.3,Jakhu Temple is known for giant hanuman. Features include monkeys.,2,year_round,{},,,,0,true,{},{}
hp_man_005,Solang Valley,Manali,Himachal Pradesh,32.31000000,77.15000000,{adventure},{},"{""paragliding"",""skiing""}",0,4.4,Solang Valley is known for paragliding. Features include skiing.,3,year_round,{},,,,0,true,{},{}
hp_man_006,Rohtang Pass,Manali,Himachal Pradesh,32.37000000,77.24000000,{nature},{},"{""snow point"",""high pass""}",0,4.6,Rohtang Pass is known for snow point. Features include high pass.,3,year_round,{},,,,0,true,{},{}
hp_man_007,Hadimba Temple,Manali,Himachal Pradesh,32.24000000,77.18000000,{history},{},"{""wooden"",""pagoda style""}",0,4.5,Hadimba Temple is known for wooden. Features include pagoda style.,2,year_round,{},,,,0,true,{},{}
hp_dha_010,McLeodganj,Dharamshala,Himachal Pradesh,32.24000000,76.32000000,{religious},{},"{""dalai lama"",""tibetan""}",0,4.6,McLeodganj is known for dalai lama. Features include tibetan.,3,year_round,{},,,,0,true,{},{}
hp_dha_011,HPCA Stadium,Dharamshala,Himachal Pradesh,32.19000000,76.32000000,{cultural},{},"{""scenic cricket ground""}",20,4.5,HPCA Stadium - Scenic Cricket Ground,3,year_round,{},,,,20,true,{},{}
hp_spi_015,Key Monastery,Spiti,Himachal Pradesh,32.29000000,78.01000000,{history},{},"{""spiti valley"",""ancient""}",0,4.8,Key Monastery is known for spiti valley. Features include ancient.,3,year_round,{},,,,0,true,{},{}
hp_spi_016,Chandratal Lake,Spiti,Himachal Pradesh,32.48000000,77.61000000,{nature},{},"{""high altitude"",""trekking""}",0,4.7,Chandratal Lake is known for high altitude. Features include trekking.,3,year_round,{},,,,0,true,{},{}
hp_dal_020,Khajjiar,Dalhousie,Himachal Pradesh,32.55000000,76.06000000,{nature},{},"{""mini switzerland""}",0,4.3,Khajjiar - Mini Switzerland,3,year_round,{},,,,0,true,{},{}
