id,name,city,state,latitude,longitude,categories,sub_categories,tags,cost_per_day,rating,description,visit_duration_hours,best_time_to_visit,photos,website_url,google_maps_url,opening_hours,entry_fee,is_active,nearby_attractions,facilities,created_at,updated_at
gj_ahm_013,Ahmedabad Church,Ahmedabad,Gujarat,29.13688504,69.46217506,"["shopping"]",[],["historic","cultural"],654,4.6,Ahmedabad Church is known for bustling. Features include ancient.,2,year_round,[],,,,145,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ar_bom_002,Bomdila Palace,Bomdila,Arunachal Pradesh,28.39264394,89.66229432,"["history"]",[],["peaceful","serene"],75,4.8,Bomdila Palace is known for modern. Features include peaceful.,5,year_round,[],,,,437,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ka_coo_014,Coorg Palace,Coorg,Karnataka,30.77329915,84.21431834,"["religious"]",[],["serene","adventure"],616,4.7,Coorg Palace is known for historic. Features include modern.,4,year_round,[],,,,388,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
jh_ran_005,Ranchi Hill,Ranchi,Jharkhand,9.94868231,70.15751545,"["cultural"]",[],["modern","scenic"],202,4.1,Ranchi Hill is known for serene. Features include bustling.,5,year_round,[],,,,160,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mz_aiz_025,Aizawl Lake,Aizawl,Mizoram,29.93063589,78.12841540,"["food"]",[],["historic","modern"],219,4.2,Aizawl Lake is known for peaceful. Features include vibrant.,4,year_round,[],,,,281,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
rj_jai_011,Jaisalmer Lake,Jaisalmer,Rajasthan,18.58331127,86.90838380,"["cultural"]",[],["vibrant","cultural"],211,4.2,Jaisalmer Lake is known for adventure. Features include modern.,3,year_round,[],,,,266,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
wb_kal_027,Kalimpong Sanctuary,Kalimpong,West Bengal,8.85163446,79.12235928,"["religious"]",[],["cultural","bustling"],914,4.6,Kalimpong Sanctuary is known for historic. Features include bustling.,4,year_round,[],,,,468,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
od_chi_023,Chidiya Tapu Cave,Chidiya Tapu,Odisha,34.57210180,83.87337232,"["nature"]",[],["scenic","cultural"],603,4.8,Chidiya Tapu Cave is known for ancient. Features include vibrant.,3,year_round,[],,,,78,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
hr_kur_010,Kurukshetra Cave,Kurukshetra,Haryana,13.63941817,87.61863806,"["beach"]",[],["peaceful","serene"],116,4.2,Kurukshetra Cave is known for cultural. Features include serene.,3,year_round,[],,,,296,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ar_nam_010,Namsai Cave,Namsai,Arunachal Pradesh,12.19372777,84.54022569,"["nature"]",[],["adventure","ancient"],735,4.7,Namsai Cave is known for peaceful. Features include vibrant.,2,year_round,[],,,,363,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
